country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Grenada,17.8,18.3,18.8,20.1,20.3,20.3,20.4,20.4,20.6,20.4,21.1,22.2,23.5,24.2,24.9,25.8,27,28.5,29.6,30.9,32.2,33.6,35,35.6,36.5,37.4,39,41.3,41,41.4
Greenland,9.91,10.3,10.7,11.5,12.2,12.7,13.2,13.7,13.8,14,14.1,14,14.1,13.8,13.4,13.6,13.7,13.8,13.6,13.5,13.7,13.6,13.6,13.8,14.1,14.1,14.4,14.7,14.9,15.1
Guatemala,272,297,320,347,366,351,359,396,449,478,520,540,575,606,656,706,762,785,823,891,976,1040,1090,1130,1180,1240,1300,1340,1390,1450
Guam,12.6,13.1,13.4,14.3,15.4,16.9,18.5,18.5,19.8,21.7,23.5,24.7,24.8,25.2,24.6,24.1,24.5,25,25.7,26.8,27.6,28.2,29.1,30.4,31.4,32.5,32.4,33.2,34,35.3
Guyana,83.9,83.5,82.8,89.5,86.7,89.9,101,104,106,111,132,126,129,126,126,129,128,135,138,138,145,148,156,159,165,166,168,171,176,180
Honduras,178,178,205,210,217,261,280,291,300,308,322,342,362,386,409,432,459,485,516,550,588,630,677,710,745,781,820,862,910,953
Croatia,2210,2240,2280,2290,2310,2280,2350,2410,2410,2360,2210,2180,2230,2390,2410,2440,2430,2500,2670,2630,2840,2860,2880,2920,3000,3190,2900,2860,2830,2820
Haiti,682,690,714,738,763,779,789,810,817,854,894,947,996,1060,1120,1180,1220,1260,1300,1340,1370,1420,1480,1540,1600,1670,1740,1800,1870,1940
Hungary,4590,4690,5020,5290,5320,5450,5350,5620,5870,6100,6080,6090,6240,6430,6290,6250,5990,6020,5670,5400,5540,5680,5670,5670,5740,6060,5810,5960,6000,5920
Indonesia,17k,17.8k,18.6k,19.6k,20.6k,21.7k,22.9k,24k,25k,26k,27.1k,28.3k,29.2k,30.2k,31.4k,32.7k,33.9k,34.7k,36.3k,37.8k,39.2k,40.9k,42.1k,43.5k,44.5k,45.1k,46.2k,47.7k,49.3k,50.6k
India,35.8k,36.5k,37.7k,39.5k,42k,43.3k,46.3k,50.2k,52.4k,53.3k,54.8k,57.7k,60.3k,60.9k,61.5k,64.9k,68.8k,72.9k,76k,79.3k,86.2k,91.9k,94.6k,102k,109k,120k,126k,130k,137k,144k
Ireland,1830,1840,1960,1950,1980,2020,1960,2080,2090,2230,2350,2350,2300,2470,2580,2650,2750,2690,2980,3030,2890,3060,3140,3100,3110,3280,3280,3320,3370,3390
Iran,2840,3010,3160,3400,3520,3720,3980,4100,4250,4300,4740,5310,5510,5690,5920,6370,6770,6910,7230,7590,8030,8690,9350,10.1k,10.9k,11.8k,12.6k,13.2k,14k,14.7k
Iraq,1340,1440,1540,1620,1700,1810,1930,2030,2120,2240,2370,2540,2710,2850,3010,3150,3360,3630,3880,4070,4390,4790,5220,5610,5890,6160,6530,6930,7410,7820
Iceland,121,124,129,135,139,143,144,149,153,154,155,155,159,162,164,163,161,159,156,155,154,155,156,159,162,164,163,162,166,168
Israel,1880,2060,2270,2330,2510,2650,2790,2910,3020,3170,3180,3200,3320,3360,3350,3530,3550,3710,3660,3770,3710,3870,3720,3880,3930,3970,4090,4200,4310,4410
Italy,37.8k,39.3k,39.9k,41.5k,42.4k,43.2k,44k,44.4k,46.8k,46.4k,47.5k,47.9k,49.1k,50.7k,49.3k,50k,49.7k,50.6k,51.3k,52.3k,51.4k,52.3k,52.6k,52.2k,51.6k,54k,52.5k,52.4k,53k,53.1k
Jamaica,391,389,412,436,452,473,520,565,612,660,715,769,772,778,752,726,744,790,856,898,906,951,1020,1040,1160,1160,1160,1170,1190,1210
Jordan,301,320,327,359,377,403,436,461,493,526,554,583,619,660,734,811,857,871,893,939,1010,1100,1210,1320,1430,1520,1650,1780,1910,2050
Japan,31.5k,33.2k,35k,36.5k,37.4k,39.7k,40.7k,42.4k,45k,46.9k,47.8k,49.1k,50.5k,53k,56.4k,58.9k,60.6k,63.1k,65.9k,67.4k,70.6k,74.1k,73.4k,75k,76.5k,75.9k,77.5k,75.9k,74.9k,74.3k
Kazakhstan,2680,2370,2150,2320,2410,2530,2610,2630,2600,2630,2700,2780,2840,2920,2980,3100,3190,3250,3270,3320,3480,3560,3670,3670,3760,3880,3970,4090,4130,4240
Kenya,668,709,749,788,831,876,920,973,1030,1080,1150,1190,1270,1350,1410,1470,1530,1580,1630,1720,1850,1960,2070,2190,2320,2450,2600,2770,2970,3160
Kyrgyz Republic,555,575,586,601,634,626,584,548,524,498,454,440,444,465,470,474,490,497,510,507,513,550,549,559,565,589,578,605,622,644
Cambodia,450,468,490,517,545,572,600,627,659,691,721,758,797,836,881,924,961,1000,1040,1080,1140,1190,1250,1310,1380,1460,1540,1620,1710,1790
Kiribati,8.9,9.26,9.56,9.8,9.93,10.2,10.5,11,11.4,11.9,12.4,12.7,12.9,13.3,13.7,14,14.5,15,15.6,16.1,16.5,16.9,17.3,17.5,17.6,18.1,18.7,19.4,20.1,20.6
St. Kitts and Nevis,17.9,15.6,15.7,15.9,16.6,17.2,17.5,17.6,17.7,17.8,17.9,18,18.4,18.4,18.7,19.2,19.9,20.7,21.3,22.2,23,24.2,24.9,25.8,26.3,26.6,27.3,28.2,29.4,30.5
South Korea,3440,3740,4040,4400,4750,5140,5500,5950,6300,6770,7310,7810,8560,9520,10.2k,11.1k,11.4k,12.5k,13.4k,14.5k,15.2k,15.7k,16.2k,17.1k,17.8k,18.2k,18.7k,19.2k,19.8k,20.3k
Kuwait,145,132,131,144,153,168,173,180,197,206,216,235,236,233,255,271,285,323,373,393,405,409,432,447,495,507,547,595,652,716
Lao,320,330,341,352,363,375,384,395,405,417,423,437,445,455,468,485,502,522,544,566,585,604,625,652,683,714,747,779,816,851
Lebanon,613,643,684,721,744,782,817,860,911,992,1090,1200,1330,1460,1560,1680,1790,1910,2000,2120,2250,2420,2600,2760,2890,3010,3130,3250,3390,3520
Liberia,98.6,103,106,107,109,109,111,111,113,116,121,126,133,137,144,152,161,170,179,191,206,217,233,245,251,258,268,279,295,310
Libya,209,225,241,256,271,289,307,333,354,372,394,406,420,434,448,477,527,655,726,833,869,919,981,1030,1080,1120,1170,1220,1280,1350
St. Lucia,25.4,26.6,27.8,28.6,28.5,29.4,30.1,29.9,30.5,31.3,31.3,31.7,32.6,33.1,34.3,35.5,36.9,37.7,39.4,41.4,43.6,46.8,50,51.4,52.6,54,57.2,58.9,60.9,62.7
Sri Lanka,956,941,960,1020,1100,1160,1260,1390,1410,1470,1510,1520,1610,1740,1870,2040,2150,2240,2410,2710,2830,2950,3060,3230,3410,3560,3720,3860,3990,4120
Lesotho,91.3,92.3,93.5,94.5,95.7,95.7,94.2,92.6,99.7,108,126,133,145,162,172,181,187,195,207,213,223,231,245,258,267,274,275,274,279,286
Lithuania,1190,1240,1210,1300,1330,1320,1280,1230,1280,1290,1320,1390,1350,1380,1340,1410,1430,1540,1600,1470,1480,1500,1500,1510,1430,1460,1420,1380,1360,1360
Luxembourg,253,259,263,275,279,282,282,287,293,308,320,324,326,328,334,345,356,362,372,382,392,389,386,391,387,382,362,366,371,378
Latvia,961,944,949,1030,1090,1020,878,869,939,936,923,988,984,1020,1030,1060,1160,1150,1120,1130,1120,1120,1080,1150,1110,1100,1100,1100,1100,1090
Morocco,2350,2480,2640,2810,2960,3090,3260,3460,3570,3770,3920,4160,4430,4670,4910,5160,5430,5740,6010,6270,6570,6880,7200,7510,7820,8160,8520,8910,9360,9760
Monaco,31,31.6,32.3,33.2,34.3,35.1,36.3,37.7,39.4,41,42.5,43.8,45.4,47,48.6,50,51.1,52.2,53.3,54.6,55.8,56.5,57.4,57.9,58,58.1,57.8,57.5,57.2,56.8
Moldova,1070,1090,986,1010,1110,1130,1080,976,928,983,1010,1020,1050,1080,1070,1150,1180,1190,1200,1220,1250,1160,1180,1200,1280,1360,1320,1250,1230,1230
Madagascar,519,534,550,569,562,579,588,617,642,648,669,694,741,774,811,833,846,861,900,944,984,1030,1070,1130,1180,1240,1310,1390,1480,1550
Maldives,13.6,14.4,15.2,15.7,15.9,16.9,18.3,19.5,20,20.8,21.9,22.9,22.3,22.7,23.2,23.6,24.7,26.3,28.4,30.7,33,34.6,36.8,38.9,40.9,42.9,45.7,48.6,52,55.5
Mexico,5830,6080,6460,7070,7750,8480,8890,9460,10k,10.5k,10.8k,11.2k,11.8k,12.4k,12.8k,13.7k,14.1k,14.5k,15.5k,16.6k,16.5k,16.9k,17.8k,19.2k,20.1k,20.6k,21.6k,22.9k,23.6k,24.3k
Marshall Islands,3.15,3.42,3.68,3.94,4.19,4.51,4.84,5.12,5.35,5.58,5.86,6.23,6.61,6.95,7.29,7.63,8,8.29,8.54,8.82,9.16,9.5,9.82,10.1,10.4,10.8,11.1,11.6,12,12.3
North Macedonia,490,510,533,550,573,600,640,693,739,747,749,753,772,804,838,864,908,974,990,999,1030,1030,1060,1040,1060,1100,1110,1120,1140,1150
Mali,424,436,451,466,488,516,532,551,566,581,598,612,629,644,660,677,692,710,722,737,761,789,812,843,879,920,979,1030,1080,1130
Malta,192,198,207,213,216,217,218,224,232,242,254,256,262,272,276,276,281,283,283,290,285,289,291,291,294,303,310,313,314,316
Myanmar,6850,7100,7360,7620,7880,8160,8440,8700,8970,9240,8760,8010,7680,7600,7590,7570,7650,7630,7610,7610,7580,7610,7620,7830,8050,8330,8830,7880,7070,7540
Montenegro,209,206,213,221,232,239,249,260,268,275,287,299,308,315,323,331,342,354,363,372,378,382,387,391,398,403,402,404,408,409
Mongolia,74.2,78.9,83.1,87,90.1,95.8,101,107,111,117,122,128,135,142,150,157,164,170,176,186,195,200,207,211,216,225,239,253,267,282
Northern Mariana Islands,6.92,7.48,7.96,8.29,8.6,9.11,9.85,10.8,11.8,13.3,14.6,15.9,15.8,15.5,15.2,15.4,15.8,16,16,15.9,16,16.4,16.6,16.9,17.3,17.9,17.7,17.7,17.6,17.6
Mozambique,594,598,608,625,642,651,665,686,702,717,730,724,743,764,799,844,883,942,1010,1080,1170,1250,1330,1410,1500,1570,1650,1740,1830,1900
Mauritania,118,120,123,127,127,128,132,134,140,142,146,151,154,157,165,170,180,183,187,198,204,214,229,240,245,255,264,282,292,302
Mauritius,97.7,101,122,129,139,143,146,158,168,189,211,226,234,264,265,275,288,289,309,320,342,344,377,382,409,429,438,475,478,481
Malawi,378,382,382,378,378,382,386,406,432,450,464,468,480,496,510,509,523,544,570,601,638,670,702,733,763,797,837,873,932,985
Malaysia,1910,1970,2060,2190,2270,2460,2540,2650,2780,3190,3170,3260,3500,3770,3940,4150,4400,4570,4770,5090,5300,5500,5840,6120,6570,6960,7360,7740,8160,8630
Namibia,87.5,90.8,95.2,99.5,105,111,116,124,133,144,158,163,172,185,191,197,202,212,227,247,264,275,297,320,347,367,384,396,412,423
Niger,190,197,207,217,226,238,244,256,267,279,291,305,318,334,345,359,369,382,391,403,418,437,460,485,516,543,577,611,643,666
Nigeria,5330,5510,5700,5890,6060,6180,6320,6570,6830,7080,7300,7610,8040,8490,9020,9530,10k,10.6k,11.1k,11.8k,12.8k,14k,15.3k,16.2k,16.9k,17.4k,18.2k,19.1k,20.1k,21.1k
Nicaragua,134,146,151,164,166,205,224,227,237,245,258,280,300,311,340,370,367,414,454,493,519,566,597,630,687,708,760,796,834,870
Niue,0.47,0.49,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.57,0.58,0.57,0.57,0.57,0.58,0.57,0.59,0.61,0.63,0.64,0.65,0.66,0.67,0.68,0.68,0.69,0.69,0.7,0.72,0.72
Netherlands,10.7k,11.3k,11.7k,12.3k,12.5k,12.4k,12.9k,13.3k,13.3k,13.8k,13.5k,13.6k,13.9k,13.4k,14k,14.2k,14.3k,14.5k,15.2k,15.2k,15.4k,15.9k,15.8k,15.4k,15.3k,15.6k,16.2k,16.4k,16.6k,16.6k
Norway,2020,2070,2150,2210,2350,2300,2440,2530,2590,2620,2710,2740,2840,2850,2930,2910,2880,2980,2930,3000,3070,3100,3000,3090,2990,2910,2930,2830,2860,2860
Nepal,929,960,995,1030,1070,1100,1120,1150,1190,1250,1300,1360,1420,1500,1590,1700,1800,1910,2010,2110,2250,2380,2530,2670,2810,2980,3150,3310,3510,3690
Nauru,1.21,1.25,1.28,1.29,1.33,1.38,1.44,1.51,1.58,1.62,1.67,1.74,1.76,1.78,1.8,1.82,1.86,1.88,1.9,1.93,1.95,1.98,2.02,2.07,2.12,2.17,2.24,2.31,2.4,2.46
New Zealand,2180,2140,2090,2220,2170,2320,2320,2360,2350,2460,2410,2420,2460,2620,2720,2720,2790,2830,2950,3010,3050,3080,3170,3200,3290,3430,3470,3500,3580,3600
Oman,67.7,72.7,79.3,85.2,93.9,104,113,121,129,138,150,163,175,185,194,207,224,241,255,273,282,301,325,325,331,346,365,385,404,427
